battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,px_area,ram_bin,n_cores_2,n_cores_3,n_cores_4,n_cores_5,n_cores_6,n_cores_7,n_cores_8
-0.9025972554689959,0,2.2,0,1,0,7,0.6,1.3492488095807782,2,-1.4116903899469742,-1.1467840342018796,0.3917034064711061,9,7.0,19,0,0,1,1,-1.0746225989346239,2,True,False,False,False,False,False,False
-0.49513856507006043,1,0.5,1,0,1,53,0.7,-0.12005943732924378,6,0.585116235734009,1.7044646757511204,0.4673170183062863,17,3.0,7,1,1,0,2,1.0771055121615247,2,False,True,False,False,False,False,False
-1.5376864991634263,1,0.5,1,2,1,41,0.9,0.13424391309749079,6,1.3928640006987456,1.0749682073199385,0.44149773621622473,11,2.0,9,1,1,0,2,1.521157392300787,2,False,False,False,True,False,False,False
-1.419318611449769,1,2.5,0,0,0,10,0.8,-0.26133907645520743,9,1.2868189030637103,1.2369709749309044,0.5945691943215896,16,8.0,11,1,0,0,2,1.5265463011697336,2,False,False,False,False,True,False,False
1.3259058612938972,1,1.2,0,13,1,44,0.6,0.021220201796719875,14,1.2687686736790236,-0.09145171947901598,-0.6576659870463955,8,2.0,15,1,1,0,1,0.6730048892682287,1,True,False,False,False,False,False,False
1.4124054715461853,0,0.5,1,3,0,22,0.7,0.6711065417761527,7,0.8084878243695087,0.9314800417216544,-0.9748743098671516,17,1.0,10,1,0,0,1,0.9100300394305672,0,False,False,False,False,False,False,False
1.3259058612938972,0,1.7,0,4,1,10,0.8,-0.03529165385366558,10,-0.5971737889629799,-0.54043081828655,1.010444059415081,13,8.0,18,1,0,1,3,-0.6250587864920749,3,False,False,False,False,False,False,True
1.6286544971769052,0,0.5,1,0,0,24,0.8,1.3209928817555854,0,-0.30160128278873266,-0.2372542103288853,-1.3132913286904584,16,3.0,5,1,1,1,0,-0.3833177380133578,0,False,False,True,False,False,False,False
0.47001498090283717,1,0.5,0,0,0,53,0.7,0.95366582002808,14,-0.5858923955975506,-0.9616380140750614,-0.9453665589070812,17,1.0,20,1,0,0,0,-0.7036514632419136,0,False,False,False,False,False,True,False
-1.6606069979429934,1,0.6,1,2,1,9,0.1,-1.3350643338125312,15,1.1085728878899277,-0.06367981645999325,-1.4857272483633694,19,10.0,12,1,0,0,0,0.5856727242318222,0,False,False,False,True,False,False,False
-1.0687675593747072,1,2.9,1,0,0,9,0.1,1.1797132426296217,1,-0.8972588524833989,-0.8736936545148227,1.6799011593216768,5,2.0,7,0,0,0,3,-0.8314318037100532,3,False,False,False,True,False,False,False
0.6407378958744582,1,2.2,0,5,1,33,0.5,1.038433603503658,18,-1.116117883772727,-0.570517046557158,1.569247093221413,14,9.0,13,1,1,1,3,-0.909825471963165,3,False,False,False,False,False,False,True
1.3122480280961677,0,2.8,0,2,0,33,0.6,0.5298269026501891,17,-0.0872548088455763,-1.1652986362145614,-0.5921956646037394,18,5.0,2,1,0,0,1,-0.5452406998472387,1,False,False,True,False,False,False,False
-0.991373171254239,1,2.1,0,7,0,17,1.0,1.6318080878327055,11,-0.6806560998671566,0.4362144378824158,0.512500761963894,7,1.0,4,1,0,1,2,-0.49539932336999215,2,False,False,True,False,False,False,False
1.42833961027687,0,0.5,0,13,1,52,0.7,1.2644810261052,17,-0.6535807557901263,-1.5934488077578284,-1.614823658813677,14,9.0,3,1,0,1,0,-0.851120377652909,0,False,False,False,False,False,False,False
-1.0551097261769775,0,1.0,0,3,0,46,0.7,0.5298269026501891,16,0.48809625279131713,1.417488344554552,-1.4350108014007485,17,15.0,11,1,1,1,0,0.8450833149956922,0,True,False,False,False,False,False,False
-0.9117024776008158,0,0.5,0,1,1,13,0.1,1.57529623218232,4,0.7633622509077916,1.385087791032359,1.318431210060815,10,9.0,19,1,0,1,3,1.1027474554367704,3,False,False,False,False,False,False,True
-1.4648447221088678,0,0.9,1,7,1,23,0.1,-0.5438983547071348,17,-0.4617970685778285,-1.0218104706162774,1.5010104191262503,10,2.0,18,1,1,0,3,-0.6620237101750353,3,False,True,False,False,False,False,False
-0.24474495644501626,1,0.5,1,11,0,49,0.6,-1.1090169112109893,18,0.02781540348180238,-0.8644363535084818,-0.2666882868254634,19,13.0,16,1,1,0,1,-0.3960591062522899,1,False,False,False,True,False,False,False
-1.2668061407417874,1,0.5,0,4,0,19,1.0,-0.5438983547071348,11,0.5783473997147514,-0.4339718567136296,0.19621455636064006,11,1.0,18,0,1,1,1,0.06468054092160566,2,False,False,True,False,False,False,False
-1.0619386427758424,0,1.1,1,12,0,39,0.8,-1.674135467714844,14,1.5079342130261244,1.3943450920387,0.6406750551966995,17,15.0,3,1,1,0,3,1.845418218531422,2,False,False,False,False,False,True,False
